Date,NAM
2013-03-31,59.91297257897009
2013-04-30,43.22339801655154
2013-05-31,34.275141464926655
2013-06-30,28.926204041842713
2013-07-31,29.866335744686612
2013-08-31,24.74104571349927
2013-09-30,15.88347374413954
2013-10-31,17.23114776676125
2013-11-30,20.04729850176038
2013-12-31,23.888032390427796
2014-01-31,28.90011998923337
2014-02-28,27.761634313598154
2014-03-31,19.626675778767673
2014-04-30,13.119904981714106
2014-05-31,10.111996262852252
2014-06-30,12.27855967946347
2014-07-31,23.67813677664903
2014-08-31,35.666892405610874
2014-09-30,46.68017286547896
2014-10-31,62.04454878299393
2014-11-30,81.99937170826662
2014-12-31,102.86914334037596
2015-01-31,120.89227605009229
2015-02-28,134.5073158996075
2015-03-31,134.0714507615493
2015-04-30,127.64866131443175
2015-05-31,120.31319709007029
2015-06-30,105.88006546391786
2015-07-31,99.62212945308197
2015-08-31,96.74988346139595
2015-09-30,101.26734955806498
2015-10-31,101.25041683911033
2015-11-30,108.25969684402995
2015-12-31,116.6368157378835
2016-01-31,113.11257540033762
2016-02-29,106.50376841845448
2016-03-31,98.86511099381678
2016-04-30,82.89764653852203
2016-05-31,70.17017486106806
2016-06-30,62.047157621134815
2016-07-31,60.91704313407198
2016-08-31,57.8531392055045
2016-09-30,54.49109551265941
2016-10-31,58.25333341529749
2016-11-30,67.80563710775813
2016-12-31,72.72896242620118
2017-01-31,73.07584898599696
2017-02-28,74.80689334549403
2017-03-31,73.81988787306022
2017-04-30,71.28249245726175
2017-05-31,65.68078539504552
2017-06-30,60.14950450141955
2017-07-31,58.133062331609565
